Date,PDSI_Value_Div1
201001,0.7
201002,1.57
201003,2.05
201004,3.06
201005,2.8
201006,2.82
201007,3.89
201008,-0.02
201009,-0.51
201010,-0.79
201011,-0.77
201012,-1.13
201101,-1.43
201102,-1.47
201103,-2.17
201104,-3.05
201105,-4.17
201106,-5.61
201107,-6.32
201108,-6.98
201109,-6.84
201110,-6.38
201111,-6.04
201112,-4.65
201201,-4.44
201202,-3.96
201203,-3.77
201204,-3.82
201205,-4.29
201206,-4.52
201207,-5
201208,-5.12
201209,-4.39
201210,-4.49
201211,-4.76
201212,-4.46
201301,-3.86
201302,-2.99
201303,-3
201304,-3.35
201305,-4.15
201306,-4.14
201307,-3.42
201308,-3.32
201309,-3.29
201310,-3.33
201311,-3.05
201312,-2.71
201401,-2.82
201402,-2.78
201403,-3
201404,-3.45
201405,-3.28
201406,-2.89
201407,-2.39
201408,-2.85
201409,1.11
201410,0.51
201411,0.71
201412,0.37
201501,0.96
201502,0.89
201503,0.69
201504,1.29
201505,3.61
201506,4.35
201507,5.55
201508,5.45
201509,4.19
201510,5.33
201511,5.47
201512,5.42
201601,4.79
201602,3.98
201603,3.11
201604,3.28
201605,3.11
201606,2.91
201607,1.99
201608,3.06
201609,0.03
201610,-0.87
201611,-0.65
201612,-0.71
201701,0.85
201702,0.52
201703,0.44
201704,0.9
201705,-0.74
201706,-1.12
201707,-1.1
201708,1.51
201709,1.84
201710,-0.01
201711,-0.68
201712,-1.03
201801,-1.4
201802,-1.75
201803,-2.37
201804,-2.67
201805,-3.66
201806,-3.83
201807,-3.85
201808,0
201809,0.25
201810,1.84
201811,1.64
201812,1.79
201901,1.4
201902,1.06
201903,1.48
201904,1.89
201905,2.61
201906,2.79
201907,2.4
201908,1.42
201909,1.15
201910,1.66
201911,2.05
201912,1.91
202001,1.69
202002,1.62
202003,2.09
202004,-0.33
202005,-1.37
202006,-2.21
202007,-2.41
202008,-3.23
202009,-3.5
202010,-3.37
202011,-3.6
202012,-3.52
202101,-3.18
202102,-2.99
202103,-2.58
202104,-2.62
202105,-1.87
202106,-1.51
202107,-1.15
202108,-1.35
202109,-2.22
202110,-2.49
202111,-2.89
202112,-3.44
202201,-3.43
202202,-3.38
202203,-3.54
202204,-4.19
202205,-4.67
202206,-5.07
202207,-5.23
202208,-4.74
202209,-5.18
202210,-4.6
202211,-4.18
202212,-4.11
202301,-4.06
202302,-4.08
202303,-4.44
202304,-4.48
202305,-3.13
202306,-2.6
202307,-2.65
202308,-3.56
202309,-3.54
202310,-3.16
202311,-3.3
202312,-2.33
202401,-1.91
202402,-1.99
202403,-2.2
202404,-2.18
202405,-2.59
202406,-2.73
202407,-2.82
202408,-3.21
202409,-3
202410,-3.73
202411,1.78
202412,-0.5
202501,-0.48
202502,-0.8
202503,-1.34
202504,0.49
202505,0.54
202506,0.99
202507,1.45
202508,-0.04
202509,0.71
202510,-0.97
202511,-1.28
202512,-1.87
